,Passage,Group,Length,Accuracy Scores,Execution Times
0,New_York_Times_Politics.txt,short,176,"[0.21428571428571427, 0.09598214285714286, 0.15290178571428573, 0.296875, 0.19419642857142858, 0.0]","[3.950277805328369, 3.8983569145202637, 3.9657552242279053, 3.9150569438934326, 3.9459099769592285, 3.878549814224243]"
1,Lion_Witch_Wardrobe.txt,short,292,"[0.27256792287467135, 0.18229623137598597, 0.13584574934268187, 0.9982471516213848, 0.9982471516213848, 0.9982471516213848]","[4.716287136077881, 4.722409248352051, 4.79706597328186, 4.218492031097412, 4.154775142669678, 4.178618907928467]"
2,CS109_Course_Reader.txt,short,214,"[1.0, 1.0, 1.0, 0.42857142857142855, 1.0, 0.4159928122192273]","[4.093679904937744, 3.9373600482940674, 3.8259778022766113, 4.330151081085205, 3.8468191623687744, 4.345983982086182]"
3,Federalist_Papers.txt,short,267,"[1.0, 1.0, 0.4146153846153846, 0.4369230769230769, 1.0, 1.0]","[4.1736159324646, 4.2339699268341064, 4.846156120300293, 4.983350992202759, 4.361548900604248, 4.401737928390503]"
4,Harry_Potter.txt,short,258,"[0.9990706319702602, 0.5901486988847584, 0.08643122676579926, 0.9981412639405205, 0.3159851301115242, 0.9990706319702602]","[4.267652750015259, 4.55538272857666, 4.491160154342651, 3.968372106552124, 4.698267936706543, 4.103139162063599]"
5,UN_Adaptation_Gap_Report.txt,short,191,"[1.0, 1.0, 0.10306406685236769, 0.22284122562674094, 1.0, 0.20891364902506965]","[3.8710081577301025, 4.057142019271851, 4.70081090927124, 4.34520697593689, 4.023803234100342, 4.507442951202393]"
6,Pride_and_Prejudice.txt,short,286,"[0.045454545454545456, 0.3144560357675112, 0.13710879284649777, 0.16840536512667661, 0.18032786885245902, 0.8427719821162444]","[5.210137844085693, 5.210438966751099, 5.0815589427948, 5.102472305297852, 5.10632586479187, 4.919644117355347]"
7,To_Kill_A_Mockingbird.txt,short,295,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.564774990081787, 4.471644878387451, 4.536203861236572, 4.442203044891357, 4.4601709842681885, 4.503217935562134]"
8,New_York_Times_Politics.txt,medium,688,"[0.28567190744586174, 0.9949569860575497, 0.9949569860575497, 0.3206763571640463, 0.9949569860575497, 0.9949569860575497]","[10.269471883773804, 8.989106893539429, 8.916175127029419, 10.358008861541748, 8.664257049560547, 8.586150169372559]"
9,Lion_Witch_Wardrobe.txt,medium,753,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[7.887709856033325, 7.891230344772339, 7.876327991485596, 8.07901382446289, 7.916936874389648, 8.051872968673706]"
10,CS109_Course_Reader.txt,medium,602,"[1.0, 1.0, 1.0, 1.0, 0.5229865191842378, 0.25890079502246804]","[7.514501094818115, 7.740987062454224, 7.747268199920654, 7.642001152038574, 8.973695993423462, 9.033688068389893]"
11,Federalist_Papers.txt,medium,570,"[0.15236739053043788, 0.42150231399074406, 0.3545745817016732, 1.0, 0.015307938768244928, 1.0]","[8.585709810256958, 8.689719676971436, 8.554739952087402, 7.2652387619018555, 8.727091073989868, 7.197376012802124]"
12,Harry_Potter.txt,medium,685,"[1.0, 1.0, 1.0, 1.0, 0.5193447194144302, 1.0]","[7.8556809425354, 7.653361797332764, 7.68264102935791, 7.837794065475464, 9.177053213119507, 7.668137788772583]"
13,UN_Adaptation_Gap_Report.txt,medium,714,"[1.0, 0.38943047716777834, 0.17880964597229349, 0.06618778860954336, 1.0, 0.0]","[9.513404130935669, 11.25812292098999, 11.295939683914185, 11.333373785018921, 9.511724948883057, 11.352150201797485]"
14,Pride_and_Prejudice.txt,medium,700,"[0.9990406140070355, 0.9990406140070355, 0.9990406140070355, 0.33962264150943394, 0.9990406140070355, 0.32299328429804924]","[8.221946954727173, 8.000684022903442, 8.302075862884521, 9.520855188369751, 7.990545749664307, 9.491611957550049]"
15,To_Kill_A_Mockingbird.txt,medium,682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[8.180256843566895, 8.166016101837158, 8.181588172912598, 8.239629983901978, 8.216024160385132, 8.11420202255249]"
16,New_York_Times_Politics.txt,long,1271,"[0.1625591643544965, 1.0, 1.0, 0.1700669169250857, 0.14395299494042763, 0.08764485066100865]","[17.0471248626709, 14.294923067092896, 14.37148380279541, 17.406789779663086, 17.155002117156982, 17.585927963256836]"
