,Passage,Group,Length,Accuracy Scores,Execution Times
0,New_York_Times_Politics.txt,short,176,"[0.20647321428571427, 0.4966517857142857, 0.9921875, 0.002232142857142857, 0.09598214285714286, 0.5948660714285714]","[4.082704067230225, 3.933581829071045, 3.6430280208587646, 4.049615144729614, 4.013527870178223, 3.95681095123291]"
1,Lion_Witch_Wardrobe.txt,short,292,"[0.9982471516213848, 0.9982471516213848, 0.9982471516213848, 0.1446099912357581, 0.9982471516213848, 0.1761612620508326]","[4.466861963272095, 4.4662089347839355, 4.454497814178467, 4.8690080642700195, 4.201202154159546, 5.058285713195801]"
2,CS109_Course_Reader.txt,short,214,"[0.16172506738544473, 0.16442048517520216, 1.0, 1.0, 1.0, 0.17430368373764601]","[4.49652886390686, 4.535697937011719, 4.046117782592773, 3.971466064453125, 3.9357011318206787, 4.499528169631958]"
3,Federalist_Papers.txt,short,267,"[1.0, 0.33153846153846156, 1.0, 0.42846153846153845, 1.0, 0.3392307692307692]","[4.472343921661377, 5.1287970542907715, 4.398642063140869, 5.020360946655273, 4.298841953277588, 5.0739781856536865]"
4,Harry_Potter.txt,short,258,"[0.9990706319702602, 0.9990706319702602, 0.9990706319702602, 0.32899628252788105, 0.9990706319702602, 0.9990706319702602]","[4.012206792831421, 4.009987831115723, 4.026807069778442, 4.630944013595581, 3.981781005859375, 4.1297008991241455]"
5,UN_Adaptation_Gap_Report.txt,short,191,"[0.19405756731662024, 0.0009285051067780873, 0.2989786443825441, 0.15784586815227483, 0.42246982358402974, 0.3574744661095636]","[4.658813953399658, 4.606623888015747, 4.479511022567749, 4.535114049911499, 4.479607105255127, 4.607229948043823]"
6,Pride_and_Prejudice.txt,short,286,"[0.11922503725782414, 0.22131147540983606, 0.18479880774962743, 0.21684053651266766, 0.014903129657228018, 0.09910581222056632]","[5.14667272567749, 5.0396528244018555, 5.368592023849487, 5.270152807235718, 5.30991268157959, 5.32319712638855]"
7,To_Kill_A_Mockingbird.txt,short,295,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.66947603225708, 4.764928102493286, 4.745113849639893, 4.653839111328125, 4.6804118156433105, 4.595753192901611]"
8,New_York_Times_Politics.txt,medium,688,"[0.2491842183328389, 0.2871551468407001, 0.39365173539009196, 0.40403441115396027, 0.9949569860575497, 0.0020765351527736575]","[10.522622346878052, 10.567240238189697, 10.56644606590271, 10.636264085769653, 9.220510005950928, 10.901962995529175]"
9,Lion_Witch_Wardrobe.txt,medium,753,"[1.0, 1.0, 0.23893805309734514, 1.0, 0.18584070796460178, 1.0]","[8.76543116569519, 8.494515895843506, 10.081647872924805, 8.158241987228394, 9.647621154785156, 8.2339928150177]"
10,CS109_Course_Reader.txt,medium,602,"[1.0, 1.0, 0.185274801244383, 0.34600760456273766, 1.0, 0.10922917386795714]","[7.722975015640259, 7.855871915817261, 9.287070989608765, 9.0345299243927, 7.623568058013916, 9.446916103363037]"
11,Federalist_Papers.txt,medium,570,"[1.0, 0.4880740477038092, 0.0, 0.18120327518689924, 1.0, 0.27874688501246]","[7.701003074645996, 9.12540602684021, 9.109578132629395, 9.02932596206665, 7.644175052642822, 8.795371055603027]"
12,Harry_Potter.txt,medium,685,"[1.0, 1.0, 1.0, 0.5060996863018473, 1.0, 1.0]","[8.051723003387451, 8.252072811126709, 8.236075162887573, 9.633623123168945, 7.9817891120910645, 7.8611390590667725]"
